run_name,data_root,N,seed,src_dir,k,extend_search,strict,cost_gbcm,cost_slbm,cost_opt,ratio_gbcm,ratio_slbm,gbcm_ratio_mean,gbcm_ratio_std,slbm_ratio_mean,slbm_ratio_std
20251217_130651_594780,D:\LZY_Project\CompareProject\data_seeds,2000,0,data_seeds\seed_0\2000;data_seeds\seed_1\2000;data_seeds\seed_2\2000;data_seeds\seed_3\2000;data_seeds\seed_4\2000,10,True,True,75.85061411497676,81.33567654721126,53.77579116821289,1.410497409098323,1.5124961396251693,1.42893185006869,0.03518089018262013,1.543467666069383,0.04568874085147602
20251217_130651_594780,D:\LZY_Project\CompareProject\data_seeds,2000,1,data_seeds\seed_0\2000;data_seeds\seed_1\2000;data_seeds\seed_2\2000;data_seeds\seed_3\2000;data_seeds\seed_4\2000,10,True,True,72.09165521696592,81.28449174970532,50.874351501464844,1.4170530550131957,1.5977499339203345,1.42893185006869,0.03518089018262013,1.543467666069383,0.04568874085147602
20251217_130651_594780,D:\LZY_Project\CompareProject\data_seeds,2000,2,data_seeds\seed_0\2000;data_seeds\seed_1\2000;data_seeds\seed_2\2000;data_seeds\seed_3\2000;data_seeds\seed_4\2000,10,True,True,75.69921747513702,78.97237019995424,52.8282585144043,1.432930397554117,1.4948887663677466,1.42893185006869,0.03518089018262013,1.543467666069383,0.04568874085147602
20251217_130651_594780,D:\LZY_Project\CompareProject\data_seeds,2000,3,data_seeds\seed_0\2000;data_seeds\seed_1\2000;data_seeds\seed_2\2000;data_seeds\seed_3\2000;data_seeds\seed_4\2000,10,True,True,78.51767060298006,80.57575351557192,52.788246154785156,1.4874082077429007,1.5263957298241833,1.42893185006869,0.03518089018262013,1.543467666069383,0.04568874085147602
20251217_130651_594780,D:\LZY_Project\CompareProject\data_seeds,2000,4,data_seeds\seed_0\2000;data_seeds\seed_1\2000;data_seeds\seed_2\2000;data_seeds\seed_3\2000;data_seeds\seed_4\2000,10,True,True,68.61058595086192,77.89627896266683,49.12088394165039,1.3967701809349138,1.5858077606094811,1.42893185006869,0.03518089018262013,1.543467666069383,0.04568874085147602
20251217_130651_594780,D:\LZY_Project\CompareProject\data_seeds,3000,0,data_seeds\seed_0\3000;data_seeds\seed_1\3000;data_seeds\seed_2\3000;data_seeds\seed_3\3000;data_seeds\seed_4\3000,10,True,True,92.72185932894769,101.12220835050701,63.268245697021484,1.4655354879440383,1.598309029062704,1.4546091956353968,0.01134539135601559,1.5574384624065647,0.042214631806749565
20251217_130651_594780,D:\LZY_Project\CompareProject\data_seeds,3000,1,data_seeds\seed_0\3000;data_seeds\seed_1\3000;data_seeds\seed_2\3000;data_seeds\seed_3\3000;data_seeds\seed_4\3000,10,True,True,101.84683650590539,106.60353947779063,70.04966735839844,1.4539231997322926,1.5218279186447794,1.4546091956353968,0.01134539135601559,1.5574384624065647,0.042214631806749565
20251217_130651_594780,D:\LZY_Project\CompareProject\data_seeds,3000,2,data_seeds\seed_0\3000;data_seeds\seed_1\3000;data_seeds\seed_2\3000;data_seeds\seed_3\3000;data_seeds\seed_4\3000,10,True,True,107.02059393222808,117.41969862560845,73.15504455566406,1.4629284225340815,1.6050799960385942,1.4546091956353968,0.01134539135601559,1.5574384624065647,0.042214631806749565
20251217_130651_594780,D:\LZY_Project\CompareProject\data_seeds,3000,3,data_seeds\seed_0\3000;data_seeds\seed_1\3000;data_seeds\seed_2\3000;data_seeds\seed_3\3000;data_seeds\seed_4\3000,10,True,True,90.90877301607051,95.862776030295,63.281982421875,1.436566452833589,1.5148510264930897,1.4546091956353968,0.01134539135601559,1.5574384624065647,0.042214631806749565
20251217_130651_594780,D:\LZY_Project\CompareProject\data_seeds,3000,4,data_seeds\seed_0\3000;data_seeds\seed_1\3000;data_seeds\seed_2\3000;data_seeds\seed_3\3000;data_seeds\seed_4\3000,10,True,True,99.1551644055633,105.499050039656,68.19041442871094,1.454092415132983,1.5471243417936555,1.4546091956353968,0.01134539135601559,1.5574384624065647,0.042214631806749565
20251217_130651_594780,D:\LZY_Project\CompareProject\data_seeds,4000,0,data_seeds\seed_0\4000;data_seeds\seed_1\4000;data_seeds\seed_2\4000;data_seeds\seed_3\4000;data_seeds\seed_4\4000,10,True,True,96.00465610780034,107.9553789775449,68.54971313476562,1.4005114203623223,1.574848005057432,1.4259289981650403,0.0241504753234263,1.5483228568626235,0.020525986922462387
20251217_130651_594780,D:\LZY_Project\CompareProject\data_seeds,4000,1,data_seeds\seed_0\4000;data_seeds\seed_1\4000;data_seeds\seed_2\4000;data_seeds\seed_3\4000;data_seeds\seed_4\4000,10,True,True,93.55479354872737,103.9271916573465,66.5770263671875,1.4052113567336475,1.5610068116314524,1.4259289981650403,0.0241504753234263,1.5483228568626235,0.020525986922462387
20251217_130651_594780,D:\LZY_Project\CompareProject\data_seeds,4000,2,data_seeds\seed_0\4000;data_seeds\seed_1\4000;data_seeds\seed_2\4000;data_seeds\seed_3\4000;data_seeds\seed_4\4000,10,True,True,102.4271471367596,108.85542123473329,70.38019561767578,1.4553404723847532,1.5466768780533846,1.4259289981650403,0.0241504753234263,1.5483228568626235,0.020525986922462387
20251217_130651_594780,D:\LZY_Project\CompareProject\data_seeds,4000,3,data_seeds\seed_0\4000;data_seeds\seed_1\4000;data_seeds\seed_2\4000;data_seeds\seed_3\4000;data_seeds\seed_4\4000,10,True,True,148.06384423042562,155.90000882664407,102.42845153808594,1.4455343413579878,1.5220381298908519,1.4259289981650403,0.0241504753234263,1.5483228568626235,0.020525986922462387
20251217_130651_594780,D:\LZY_Project\CompareProject\data_seeds,4000,4,data_seeds\seed_0\4000;data_seeds\seed_1\4000;data_seeds\seed_2\4000;data_seeds\seed_3\4000;data_seeds\seed_4\4000,10,True,True,114.51740308965381,123.69112930290608,80.47335815429688,1.4230473999864905,1.5370444596799964,1.4259289981650403,0.0241504753234263,1.5483228568626235,0.020525986922462387
20251217_130651_594780,D:\LZY_Project\CompareProject\data_seeds,5000,0,data_seeds\seed_0\5000;data_seeds\seed_1\5000;data_seeds\seed_2\5000;data_seeds\seed_3\5000;data_seeds\seed_4\5000,10,True,True,103.63974490140271,112.76387311717802,73.3858871459961,1.4122571645855924,1.5365879939945697,1.438386363241549,0.015643021524346067,1.555740545740997,0.01847743310731674
20251217_130651_594780,D:\LZY_Project\CompareProject\data_seeds,5000,1,data_seeds\seed_0\5000;data_seeds\seed_1\5000;data_seeds\seed_2\5000;data_seeds\seed_3\5000;data_seeds\seed_4\5000,10,True,True,107.76338615744692,115.49462230916161,74.56830596923828,1.4451633942428923,1.5488433163119824,1.438386363241549,0.015643021524346067,1.555740545740997,0.01847743310731674
20251217_130651_594780,D:\LZY_Project\CompareProject\data_seeds,5000,2,data_seeds\seed_0\5000;data_seeds\seed_1\5000;data_seeds\seed_2\5000;data_seeds\seed_3\5000;data_seeds\seed_4\5000,10,True,True,129.1635901114904,141.38196629486885,89.12484741210938,1.4492433239660276,1.5863361385756416,1.438386363241549,0.015643021524346067,1.555740545740997,0.01847743310731674
20251217_130651_594780,D:\LZY_Project\CompareProject\data_seeds,5000,3,data_seeds\seed_0\5000;data_seeds\seed_1\5000;data_seeds\seed_2\5000;data_seeds\seed_3\5000;data_seeds\seed_4\5000,10,True,True,147.5770111954141,157.99614921512867,101.8074951171875,1.4495692190986793,1.5519107805693886,1.438386363241549,0.015643021524346067,1.555740545740997,0.01847743310731674
20251217_130651_594780,D:\LZY_Project\CompareProject\data_seeds,5000,4,data_seeds\seed_0\5000;data_seeds\seed_1\5000;data_seeds\seed_2\5000;data_seeds\seed_3\5000;data_seeds\seed_4\5000,10,True,True,122.29867705233112,132.46333450500526,85.18408203125,1.4356987143145539,1.5550244992534021,1.438386363241549,0.015643021524346067,1.555740545740997,0.01847743310731674
